id	en	sv		
72	London	London		
73	Twilight (2008 film)	Twilight		
74	Amy Diamond	Amy_Diamond		
75	England	England		
76	Turkey	Turkiet		
77	Christer Fuglesang	Christer_Fuglesang		
78	Africa	Afrika		
79	Liberalism	Liberalism		
80	Gustav I of Sweden	Gustav_Vasa		
81	Harry Potter	Harry_Potter		
82	Brazil	Brasilien		
83	FC Barcelona	FC_Barcelona		
84	Martin Beck	Martin_Beck		
85	Caroline af Ugglas	Caroline_af_Ugglas		
86	Sven Wollter	Sven_Wollter		
87	Dallas (1978 TV series)	Dallas_(TV-serie)		
88	Canada	Kanada		
89	Sex position	Lista_över_samlagsställningar		
90	The Beatles	The_Beatles		
91	Leonardo da Vinci	Leonardo_da_Vinci		
92	True Blood	True_Blood		
93	Petra Mede	Petra_Mede		
94	Iran	Iran		
95	Felix Herngren	Felix_Herngren		
96	Industrial Revolution	Industriella_revolutionen		
97	Metallica	Metallica		
98	Kiss (band)	Kiss_(musikgrupp)		
99	Jakob Eklund	Jakob_Eklund		
100	Age of Enlightenment	Upplysningstiden		
101	Father's Day	Fars_dag		
102	Penis	Penis		
103	Seven Wonders of the Ancient World	Världens_sju_underverk		
104	Romanticism	Romantiken		
105	Berlin Wall	Berlinmuren		
106	Cold War	Kalla_kriget		
107	Cannabis (drug)	Cannabis		
108	Internet Movie Database	Internet_Movie_Database		
109	All Saints' Day	Alla_helgons_dag		
110	Nobel Prize in Literature	Nobelpriset_i_litteratur		
111	Photosynthesis	Fotosyntes		
112	Harpo (singer)	Harpo		
113	Facebook	Facebook		
114	Tjenare Kungen	Tjenare_kungen		
115	Windows 7	Windows_7		
116	Switzerland	Schweiz		
117	Malmö	Malmö		
118	Charles XII of Sweden	Karl_XII		
119	List of acronyms and initialisms	Lista_över_förkortningar		
120	Classical antiquity	Antiken		
121	We Are the World	We_Are_the_World		
122	Melodifestivalen	Melodifestivalen		
123	Stockholm metro	Stockholms_tunnelbana		
124	Astrid Lindgren	Astrid_Lindgren		
125	Attention deficit hyperactivity disorder	ADHD		
126	Swedish language	Svenska		
127	Schizophrenia	Schizofreni		
128	Seven deadly sins	De_sju_dödssynderna		
129	New York City	New_York		
130	The Girl with the Dragon Tattoo (2009 film)	Män_som_hatar_kvinnor_(film)		
131	A	A		
132	Vietnam War	Vietnamkriget		
133	Jesus	Jesus		
134	Internet	Internet		
135	Anneliese Michel	Anneliese_Michel		
136	Eskobar	Eskobar		
137	Greece	Grekland		
138	Stephen Hawking	Stephen_Hawking		
139	Moose	Älg		
140	Scrubs (TV series)	Scrubs		
141	Standard time	Normaltid		
142	Communism	Kommunism		
143	Sleep (non-human)	Sömn_hos_djur		
144	Niklas Lindgren	Hagamannen		
145	Nobel Prize	Nobelpriset		
146	Muse (band)	Muse		
147	Association football	Fotboll		
148	Water	Vatten		
149	Netherlands	Nederländerna		
150	List of dog breeds	Alfabetisk_lista_över_hundraser		
151	Charles Darwin	Charles_Darwin		
152	Christopher Columbus	Christofer_Columbus		
153	Heart	Hjärta		
154	Israel	Israel		
155	Alfred Nobel	Alfred_Nobel		
156	Nobel Peace Prize	Nobels_fredspris		
157	Autism	Autism		
158	European Union	Europeiska_unionen		
159	Religion	Religion		
160	Paris	Paris		
161	John Bauer (illustrator)	John_Bauer		
162	DNA	DNA		
163	Jan Guillou	Jan_Guillou		
164	Conservatism	Konservatism		
165	Ancient Greece	Antikens_Grekland		
166	Black Death	Digerdöden		
167	Afghanistan	Afghanistan		
168	Hydropower	Vattenkraft		
169	Nazism	Nazism		
170	Dictionary	Ordbok		
171	Fascism	Fascism		
172	New Zealand	Nya_Zeeland		
173	September 11 attacks	11_september-attackerna		
174	Sun	Solen		
175	Poland	Polen		
176	Kjell Bergqvist	Kjell_Bergqvist		
177	Gray wolf	Varg		
178	Greenhouse effect	Växthuseffekten		
179	Republic of Ireland	Irland		
180	Capital punishment	Dödsstraff		
181	Astrological sign	Stjärntecken		
182	Lyme disease	Borrelia		
183	Carl XVI Gustaf of Sweden	Carl_XVI_Gustaf		
184	Zeus	Zeus		
185	Ecology	Ekologi		
186	Chile	Chile		
187	Derivative	Derivata		
188	Berlin	Berlin		
189	Down syndrome	Downs_syndrom		
190	Salomon August Andrée	Salomon_August_Andrée		
191	Miley Cyrus	Miley_Cyrus		
192	Åtvidaberg	Åtvidaberg		
193	Virus	Virus		
194	Robert Pattinson	Robert_Pattinson		
195	Joseph Stalin	Josef_Stalin		
196	Jordin Sparks	Jordin_Sparks		
197	YouTube	Youtube		
198	Queen (band)	Queen		
199	Evolution	Evolution		
200	Albert Einstein	Albert_Einstein		
201	Cell (biology)	Cell		
202	Noomi Rapace	Noomi_Rapace		
203	Isaac Newton	Isaac_Newton		
204	Voltaire	Voltaire		
205	Åtvidabergs FF	Åtvidabergs_FF		
206	Pi	Pi		
207	Protein	Protein		
208	Rome	Rom		
209	Martin Luther King	Martin_Luther_King		
210	Soviet Union	Sovjetunionen		
211	RSS	RSS		
212	Cristiano Ronaldo	Cristiano_Ronaldo		
213	Pablo Picasso	Pablo_Picasso		
214	Big Bang	Big_Bang		
215	Stieg Larsson	Stieg_Larsson		
216	Thailand	Thailand		
217	Ethanol	Etanol		
218	Capitalism	Kapitalism		
219	Jehovah's Witnesses	Jehovas_vittnen		
220	American Revolution	Amerikanska_revolutionen		
221	Nelson Mandela	Nelson_Mandela		
222	Aristotle	Aristoteles		
223	Ideology	Ideologi		
224	Sweden national football team	Sveriges_herrlandslag_i_fotboll		
225	Solar System	Solsystemet		
226	John Dillinger	John_Dillinger		
227	Vietnam	Vietnam		
228	ABBA	Abba		
229	Norse mythology	Nordisk_mytologi		
230	Sven-Göran Eriksson	Sven-Göran_Eriksson		
231	Napoleon	Napoleon_I		
232	Energy	Energi		
233	Tuva Novotny	Tuva_Novotny		
234	Martin Luther	Martin_Luther		
235	Jamaica	Jamaica		
236	The Holocaust	Förintelsen		
237	Plato	Platon		
238	Salvador Dalí	Salvador_Dalí		
239	Al-Qaeda	Al-Qaida		
240	Östen Warnerbring	Östen_Warnerbring		
241	Cecilia Frode	Cecilia_Frode		
242	Nuclear power plant	Kärnkraftverk		
243	Argentina	Argentina		
244	Asia	Asien		
245	Cats (musical)	Cats		
246	List of Disney theatrical animated features	Lista_över_Disneyfilmer		
247	Freddie Mercury	Freddie_Mercury		
248	Buddy Holly	Buddy_Holly		
249	Roger Pontare	Roger_Pontare		
250	Marie Antoinette	Marie_Antoinette		
251	Wind power	Vindkraft		
252	Markus Krunegård	Markus_Krunegård		
253	Euro	Euro		
254	Atom	Atom		
255	James Bond	James_Bond		
256	Vampire	Vampyr		
257	Feminism	Feminism		
258	Los Angeles	Los_Angeles		
259	IKEA	Ikea		
260	Anal sex	Analsex		
261	Diabetes mellitus	Diabetes		
262	Johnny Depp	Johnny_Depp		
263	Gustavus Adolphus of Sweden	Gustav_II_Adolf		
264	Cat Stevens	Cat_Stevens		
265	Feudalism	Feodalism		
266	Ethics	Etik		
267	Johnny Cash	Johnny_Cash		
268	Cat	Katt		
269	Emo	Emo		
270	Playa del Sol	Playa_del_Sol		
271	Coco Chanel	Coco_Chanel		
272	John Lennon	John_Lennon		
273	At sign	@		
274	Iraq	Irak		
275	Eminem	Eminem		
276	Melissa Horn	Melissa_Horn		
277	Eiffel Tower	Eiffeltornet		
278	Rederiet	Rederiet		
279	Madonna (entertainer)	Madonna_(artist)		
280	Counties of Sweden	Sveriges_län		
281	Density	Densitet		
282	Anders Bagge	Anders_Bagge		
283	Taxi Driver	Taxi_Driver		
284	Odyssey	Odysséen		
285	Latin	Latin		
286	Ancient Rome	Romerska_riket		
287	2009	2009		
288	The Third Wave (2003 film)	Den_tredje_vågen		
289	Illuminati	Illuminati		
290	Olof Palme	Olof_Palme		
291	Mars	Mars_(planet)		
292	Bob Marley	Bob_Marley		
293	Scania	Skåne		
294	Brain	Hjärna		
295	Computer	Dator		
296	Croatia	Kroatien		
297	Emoticon	Smiley		
298	American Civil War	Amerikanska_inbördeskriget		
299	Barcelona	Barcelona		
300	S. A. Andrée's Arctic Balloon Expedition of 1897	Andrées_polarexpedition		
301	Somalia	Somalia		
302	North Korea	Nordkorea		
303	Provinces of Sweden	Landskap_i_Sverige		
304	Alexander Skarsgård	Alexander_Skarsgård		
305	Easter Island	Påskön		
306	Ozzy Osbourne	Ozzy_Osbourne		
307	Pakistan	Pakistan		
308	Star	Stjärna		
309	Barry White	Barry_White		
310	Julius Caesar	Julius_Caesar		
311	Heracles	Herakles		
312	Ten Commandments	De_tio_budorden		
313	Narcissistic personality disorder	Narcissistisk_personlighetsstörning		
314	Stephen King	Stephen_King		
315	Gross domestic product	Bruttonationalprodukt		
316	Racism	Rasism		
317	Austria	Österrike		
318	List of culinary fruits	Lista_över_frukter		
319	Divine Comedy	Den_gudomliga_komedin		
320	Psychology	Psykologi		
321	Sharia	Sharia		
322	Greek alphabet	Grekiska_alfabetet		
323	List of Swedish monarchs	Lista_över_Sveriges_regenter		
324	2012	2012		
325	List of horse breeds	Lista_över_hästraser		
326	Hydrogen	Väte		
327	Blood pressure	Blodtryck		
328	Cancer	Cancer		
329	Chronicle	Krönika		
330	Portugal	Portugal		
331	Kenya	Kenya		
332	Ingmar Bergman	Ingmar_Bergman		
333	AC/DC	AC/DC		
334	Nitrogen	Kväve		
335	Bob Dylan	Bob_Dylan		
336	Alexander the Great	Alexander_den_store		
337	Boyzone	Boyzone		
338	Amphetamine	Amfetamin		
339	English language	Engelska		
340	Lionel Messi	Lionel_Messi		
341	Carbon	Kol		
342	List of urban areas in Sweden	Lista_över_Sveriges_tätorter		
343	Human	Människa		
344	Sexual intercourse	Samlag		
345	Dan Brown	Dan_Brown		
346	Snus	Snus		
347	Tunisia	Tunisien		
348	Major depressive disorder	Depression		
349	Parliament of Sweden	Sveriges_riksdag		
350	Help	Hjälp		
351	Pippi Longstocking	Pippi_Långstrump		
352	Takida	Takida		
353	Sigmund Freud	Sigmund_Freud		
354	Lars Winnerbäck	Lars_Winnerbäck		
355	Morocco	Marocko		
356	Influenza	Influensa		
357	Cornelis Vreeswijk	Cornelis_Vreeswijk		
358	Charles Dickens	Charles_Dickens		
359	Florida	Florida		
360	Great Wall of China	Kinesiska_muren		
361	Catholic Church	Romersk-katolska_kyrkan		
362	Moon	Månen		
363	Auschwitz concentration camp	Auschwitz		
364	Real Madrid C.F.	Real_Madrid		
365	Belgium	Belgien		
366	Karl Marx	Karl_Marx		
367	Västerås	Västerås		
368	Thirty Years' War	Trettioåriga_kriget		
369	Green Day	Green_Day		
370	Two and a Half Men	2_1/2_män		
371	Copenhagen	Köpenhamn		
372	Wolfgang Amadeus Mozart	Wolfgang_Amadeus_Mozart		
373	Scabies	Skabb		
374	Indigenous peoples of the Americas	Indianer		
375	Olympic Games	Olympiska_spelen		
376	Mohandas Karamchand Gandhi	Mahatma_Gandhi		
377	Mikael Persbrandt	Mikael_Persbrandt		
378	Incandescent light bulb	Glödlampa		
379	Jupiter	Jupiter		
380	Idol (Sweden)	Idol_(Sverige)		
381	Tokio Hotel	Tokio_Hotel		
382	How I Met Your Mother	How_I_Met_Your_Mother		
383	Madagascar	Madagaskar		
384	Psychosis	Psykos		
385	Ken Ring (rapper)	Ken_Ring		
386	Ku Klux Klan	Ku_Klux_Klan		
387	Ice hockey	Ishockey		
388	Parliamentary system	Parlamentarism		
389	Inflation	Inflation		
390	Allsvenskan	Fotbollsallsvenskan		
391	Småland	Småland		
392	Uppsala	Uppsala		
393	Kristen Stewart	Kristen_Stewart		
394	Creditor	Borgenär		
395	Dubai	Dubai		
396	The Lord of the Rings	Sagan_om_ringen		
397	IFK Göteborg	IFK_Göteborg		
398	Lithuania	Litauen		
399	Slipknot (band)	Slipknot		
400	World of Warcraft	World_of_Warcraft		
401	Vagina	Slida		
402	Nationalism	Nationalism		
403	Ericsson Globe	Globen		
404	Charlie Chaplin	Charlie_Chaplin		
405	Copyright	Upphovsrätt		
406	Malta	Malta		
407	Atomic bombings of Hiroshima and Nagasaki	Atombomberna_över_Hiroshima_och_Nagasaki		
408	Ian Wachtmeister	Ian_Wachtmeister		
409	This Is Your Life	Här_är_ditt_liv		
410	Che Guevara	Che_Guevara		
411	Dinosaur	Dinosaurier		
412	Volcano	Vulkan		
413	Monty Python	Monty_Python		
414	Broder Daniel	Broder_Daniel		
415	Romania	Rumänien		
416	Galileo Galilei	Galileo_Galilei		
417	Ulf Malmros	Ulf_Malmros		
418	Carbon dioxide	Koldioxid		
419	Kosovo	Kosovo		
420	Heroes (TV series)	Heroes_(TV-serie)		
421	Europe (band)	Europe		
422	Tsunami	Tsunami		
423	List of countries by population	Lista_över_länder_efter_folkmängd		
424	Lists of deaths by year#2009	Avlidna_2009		
425	Apartheid in South Africa	Apartheid		
426	Markoolio	Markoolio		
427	Chromosome	Kromosom		
428	ISO 216#A series	A-format		
429	FRA law	FRA-lagen		
430	Nordic countries	Norden		
431	John F. Kennedy	John_F._Kennedy		
432	Diwali	Diwali		
433	Vulva	Vulva		
434	Stellan Skarsgård	Stellan_Skarsgård		
435	Chemical element	Grundämne		
436	Tanzania	Tanzania		
437	Mycetozoa	Slemsvampar		
438	Scientology	Scientologi		
439	Marxism	Marxism		
440	Operating system	Operativsystem		
441	Human factors and ergonomics	Ergonomi		
442	Fredrik Reinfeldt	Fredrik_Reinfeldt		
443	Friends	Vänner		
444	Laleh Pourkarim	Laleh_Pourkarim		
445	Iron	Järn		
446	Bird	Fåglar		
447	Automobile	Bil		
448	Forbes list of billionaires	Lista_över_världens_rikaste_personer		
449	Treaty of Lisbon	Lissabonfördraget		
450	List of methods of capital punishment	Avrättning		
451	Philosophy	Filosofi		
452	Christina	Drottning_Kristina		
453	Sicilian Mafia	Maffia		
454	Peter Forsberg	Peter_Forsberg		
455	Tourette syndrome	Tourettes_syndrom		
456	Romani people	Romer		
457	Britney Spears	Britney_Spears		
458	Scotland	Skottland		
459	Anarchism	Anarkism		
460	Petroleum	Petroleum		
461	1918 flu pandemic	Spanska_sjukan		
462	Mexico	Mexiko		
463	Global warming	Global_uppvärmning		
464	Seneca	Seneca		
465	Ronaldinho	Ronaldinho		
466	Carl Linnaeus	Carl_von_Linné		
467	South America	Sydamerika		
468	Indonesia	Indonesien		
469	Beer	Öl		
470	Hungary	Ungern		
471	Anxiety	Ångest		
472	Tupac Shakur	Tupac_Shakur		
473	Megan Fox	Megan_Fox		
474	L	L		
475	Ukraine	Ukraina		
476	The Simpsons	Simpsons		
477	RAID	Raid		
478	Mercury (element)	Kvicksilver		
479	Abortion	Abort		
480	Slim Susie	Smala_Sussie		
481	Rhetoric	Retorik		
482	Encyclopedia	Uppslagsverk		
483	Atheism	Ateism		
484	Kajsa Bergqvist	Kajsa_Bergqvist		
485	Battle of Helsingborg	Slaget_vid_Helsingborg		
486	Nazi Germany	Nazityskland		
487	Jane Austen	Jane_Austen		
488	Sami people	Samer		
489	Pythagorean theorem	Pythagoras_sats		
490	Tiger	Tiger		
491	Korean War	Koreakriget		
492	Nuclear weapon	Kärnvapen		
493	Ted Gärdestad	Ted_Gärdestad		
494	Oxygen	Syre		
495	Stephenie Meyer	Stephenie_Meyer		
496	Nigeria	Nigeria		
497	Ion	Jon		
498	Colombia	Colombia		
499	Job security	Lagen_om_anställningsskydd		
500	D	D		
501	Peter Jihde	Peter_Jihde		
502	Crusades	Korståg		
503	Nirvana	Nirvana		
504	Stress (biology)	Stress		
505	Venus	Venus		
506	Swedish Empire	Stormaktstiden		
507	Oral sex	Oralsex		
508	World Trade Center	World_Trade_Center		
509	Narcotic	Narkotika		
510	Adjective	Adjektiv		
511	Liverpool F.C.	Liverpool_FC		
512	Cognitive psychology	Kognitiv_psykologi		
513	Left Party (Sweden)	Vänsterpartiet		
514	Ronaldo	Ronaldo		
515	Culture	Kultur		
516	Peru	Peru		
517	Republic	Republik		
518	Aluminium	Aluminium		
519	Bill Gates	Bill_Gates		
520	Milky Way	Vintergatan		
521	Jönköping	Jönköping		
522	California	Kalifornien		
523	Gold	Guld		
524	Dante Alighieri	Dante_Alighieri		
525	Akon	Akon		
526	Golden ratio	Gyllene_snittet		
527	Circle	Cirkel		
528	Trigonometric functions	Trigonometrisk_funktion		
529	Hannah Montana	Hannah_Montana		
530	Agnosticism	Agnosticism		
531	One Tree Hill (TV series)	One_Tree_Hill		
532	Cuba	Kuba		
533	Fossil fuel	Fossila_bränslen		
534	Sparta	Sparta		
535	Serbia	Serbien		
536	Alphabet	Alfabet		
537	Gustav III of Sweden	Gustav_III		
538	Örebro	Örebro		
539	Estonia	Estland		
540	Hoover Dam	Hooverdammen		
541	Suicide	Självmord		
542	Lysergic acid diethylamide	LSD		
543	Triangle	Triangel		
544	Potato	Potatis		
545	Millennium series	Millennium-serien		
546	The Girl Who Played with Fire (film)	Flickan_som_lekte_med_elden_(film)		
547	Arnold Schwarzenegger	Arnold_Schwarzenegger		
548	Zero Tolerance (1999 film)	Noll_tolerans		
549	Moderate Party	Moderaterna		
550	Jerusalem	Jerusalem		
551	Time zone	Tidszon		
552	Saudi Arabia	Saudiarabien		
553	Sleep	Sömn		
554	Lung	Lunga		
555	New7Wonders of the World	Världens_sju_nya_underverk		
556	Roe deer	Rådjur		
557	T	T		
558	Mongolia	Mongoliet		
559	Coffee	Kaffe		
560	Dog	Hund		
561	Guns N' Roses	Guns_N'_Roses		
562	Maslow's hierarchy of needs	Behovshierarki		
563	Metaphor	Metafor		
564	Ingemar Stenmark	Ingemar_Stenmark		
565	Bosnia and Herzegovina	Bosnien_och_Hercegovina		
566	Cocaine	Kokain		
567	The Black Eyed Peas	Black_Eyed_Peas		
568	Earthquake	Jordbävning		
569	Antisemitism	Antisemitism		
570	Tramadol	Tramadol		
571	Hamlet	Hamlet		
572	Google	Google		
573	Kontakt	Kontakt		
574	Blog	Blogg		
575	Peter Stormare	Peter_Stormare		
576	Coldplay	Coldplay		
577	Horse	Häst		
578	Kent (disambiguation)	Kent		
579	Odin	Oden		
580	Vanuatu	Vanuatu		
581	Sundsvall	Sundsvall		
582	Multiple sclerosis	Multipel_skleros		
583	Moomin	Mumintroll		
584	The Brothers Lionheart	Bröderna_Lejonhjärta		
585	Mustasch	Mustasch_(musikgrupp)		
586	Equity ratio	Soliditet		
587	Circumcision	Manlig_omskärelse		
588	Human anatomy	Människans_anatomi		
589	Robert Gustafsson	Robert_Gustafsson		
590	Magnus Uggla	Magnus_Uggla		
591	Christopher Reeve	Christopher_Reeve		
592	Bridget of Sweden	Heliga_Birgitta		
593	Dictatorship	Diktatur		
594	Kidney	Njure		
595	Franz Kafka	Franz_Kafka		
596	Telephone	Telefon		
597	Hawaii	Hawaii		
598	Empathy	Empati		
599	Batman	Batman		
600	Albania	Albanien		
601	World Heritage Site	Världsarv		
602	Cyprus	Cypern		
603	Surrealism	Surrealism		
604	Fixed-wing aircraft	Flygplan		
605	Philippines	Filippinerna		
606	Mark Zuckerberg	Mark_Zuckerberg		
607	List of apple cultivars	Lista_över_äppelsorter		
608	Thanksgiving	Thanksgiving		
609	God	Gud		
610	Bacteria	Bakterier		
611	Smile (disambiguation)	Smile		
612	Malawi	Malawi		
613	Penicillin	Penicillin		
614	Pernilla Wahlgren	Pernilla_Wahlgren		
615	Desperate Housewives	Desperate_Housewives		
616	Selena Gomez	Selena_Gomez		
617	Ottoman Empire	Osmanska_riket		
618	Caffeine	Koffein		
619	Muhammad	Muhammed		
620	Cellular respiration	Cellandning		
621	Personality disorder	Personlighetsstörning		
622	Lion	Lejon		
623	Emil i Lönneberga	Emil_i_Lönneberga		
624	Heroin	Heroin		
625	Vlad the Impaler	Vlad_III_Dracula		
626	Hjalmar Söderberg	Hjalmar_Söderberg		
627	Black hole	Svart_hål		
628	Quasimodo	Quasimodo		
629	S.S. Lazio	SS_Lazio		
630	Iliad	Iliaden		
631	Modernism	Modernism		
632	Cape Verde	Kap_Verde		
633	Josephine Bornebusch	Josephine_Bornebusch		
634	Viking	Viking		
635	Diamond	Diamant		
636	Mao Zedong	Mao_Zedong		
637	Iron Maiden	Iron_Maiden		
638	Pope	Påve		
639	Birger Jarl	Birger_jarl		
640	Ludwig van Beethoven	Ludwig_van_Beethoven		
641	Paper size	Pappersformat		
642	Elin Lanto	Elin_Lanto		
643	Chernobyl disaster	Tjernobylolyckan		
644	Humanism	Humanism		
645	Body mass index	Body_Mass_Index		
646	Ingrid Bergman	Ingrid_Bergman		
647	Ethiopia	Etiopien		
648	Marilyn Monroe	Marilyn_Monroe		
649	Eye	Öga		
650	George W. Bush	George_W._Bush		
651	Quran	Koranen		
652	Ernest Hemingway	Ernest_Hemingway		
653	Volvo	Volvo		
654	Romeo and Juliet	Romeo_och_Julia		
655	Mando Diao	Mando_Diao		
656	Electricity	Elektricitet		
657	Kurt Cobain	Kurt_Cobain		
658	Serotonin	Serotonin		
659	Euthanasia	Dödshjälp		
660	Beyoncé Knowles	Beyoncé_Knowles		
661	Patrick Swayze	Patrick_Swayze		
662	Lists of time zones	Lista_över_länders_tidszoner		
663	Helsingborg	Helsingborg		
664	Guitar	Gitarr		
665	Snow tires	Vinterdäck		
666	Wind turbine	Vindkraftverk		
667	Robert De Niro	Robert_De_Niro		
668	The Gambia	Gambia		
669	Camilla Läckberg	Camilla_Läckberg		
670	Singapore	Singapore		
671	PH	PH		
672	Linköping	Linköping		
673	Socrates	Sokrates		
674	Bruce Lee	Bruce_Lee		
675	PM	PM		
676	Show Me Love (film)	Fucking_Åmål		
677	Bolivia	Bolivia		
678	Slavery	Slaveri		
679	Punk subculture	Punk		
680	Hells Angels	Hells_Angels		
681	Winter War	Finska_vinterkriget		
682	Sweden during World War II	Sverige_under_andra_världskriget		
683	Muhammad Ali	Muhammad_Ali		
684	Bulgaria	Bulgarien		
685	Muscle	Muskel		
686	Fashion	Mode		
687	Rainforest	Regnskog		
688	Norrköping	Norrköping		
689	Friedrich Nietzsche	Friedrich_Nietzsche		
690	Banana	Banan		
691	Tom Cruise	Tom_Cruise		
692	Winston Churchill	Winston_Churchill		
693	Cross	Kors		
694	Leet	Leet		
695	Andra Avenyn	Andra_Avenyn		
696	Leukemia	Leukemi		
697	Masturbation	Onani		
698	Rödeby	Rödeby		
699	Clitoris	Klitoris		
700	2004 Indian Ocean earthquake and tsunami	Jordbävningen_i_Indiska_oceanen_2004		
701	That '70s Show	That_'70s_Show		
702	Cerebral palsy	Cerebral_pares		
703	Thor	Tor		
704	Henning Mankell	Henning_Mankell		
705	Mother Teresa	Moder_Teresa		
706	Formula One	Formel_1		
707	English grammar	Engelsk_grammatik		
708	Centre Party (Sweden)	Centerpartiet		
709	Aphrodite	Afrodite		
710	Oil	Olja		
711	Venezuela	Venezuela		
712	The Rolling Stones	The_Rolling_Stones		
713	Sex (disambiguation)	Sex		
714	Vitamin D	Vitamin_D		
715	Morality	Moral		
716	AIK Fotboll	AIK_Fotboll		
717	Satanism	Satanism		
718	Lebanon	Libanon		
719	Saint Lucy's Day	Lucia		
720	Vilhelm Moberg	Vilhelm_Moberg		
721	Pornography	Pornografi		
722	Blood	Blod		
723	Hip hop music	Hiphop		
724	Family Guy	Family_Guy		
725	Colosseum	Colosseum		
726	Volvo 740	Volvo_740		
727	Reggae	Reggae		
728	Nuremberg Trials	Nürnbergprocessen		
729	Steam engine	Ångmaskin		
730	Basshunter	Basshunter		
731	Easy Money (novel)	Snabba_cash		
732	Paris Hilton	Paris_Hilton		
733	Human skeleton	Människans_skelett		
734	Democratic Republic of the Congo	Kongo-Kinshasa		
735	Oslo	Oslo		
736	Pressure	Tryck		
737	Colonialism	Kolonialism		
738	Perception	Perception		
739	Domain Name System	DNS		
740	Existentialism	Existentialism		
741	Greenland	Grönland		
742	Saturn	Saturnus		
743	Madrid	Madrid		
744	Law of Jante	Jantelagen		
745	Edgar Allan Poe	Edgar_Allan_Poe		
746	Abraham Lincoln	Abraham_Lincoln		
747	Indigenous Australians	Aboriginer		
748	Mount Everest	Mount_Everest		
749	Maya calendar	Mayakalendern		
750	Charlie Sheen	Charlie_Sheen		
751	Orgasm	Orgasm		
752	Rubik's Cube	Rubiks_kub		
753	Promoe	Promoe		
754	Gotland	Gotland		
755	Gautama Buddha	Buddha		
756	Arsenal F.C.	Arsenal_FC		
757	Aftonbladet	Aftonbladet		
758	Tre kronor (TV series)	Tre_Kronor_(TV-serie)		
759	Bear	Björnar		
760	Advertising	Reklam		
761	Erection	Erektion		
762	Joint-stock company	Aktiebolag		
763	Jimi Hendrix	Jimi_Hendrix		
764	Biodiversity	Biologisk_mångfald		
765	Helena Bergström	Helena_Bergström		
766	Marilyn Manson	Marilyn_Manson		
767	Jonathan Swift	Jonathan_Swift		
768	Attack on Pearl Harbor	Attacken_mot_Pearl_Harbor		
769	Parlamentet	Parlamentet		
770	Logarithm	Logaritm		
771	Czech Republic	Tjeckien		
772	Tea	Te		
773	Savannah (disambiguation)	Savannah		
774	Monarchy	Monarki		
775	Charles Manson	Charles_Manson		
776	Evil (2003 film)	Ondskan_(film)		
777	Anorexia nervosa	Anorexia_nervosa		
778	Andy Warhol	Andy_Warhol		
779	Constitution of Sweden	Sveriges_grundlagar		
780	Pyramid	Pyramid		
781	Ontology	Ontologi		
782	Metabolism	Metabolism		
783	Apple	Äpple		
784	Xbox 360	Xbox_360		
785	Noun	Substantiv		
786	Gustaf VI Adolf of Sweden	Gustaf_VI_Adolf		
787	Bible	Bibeln		
